Entity,"Ambient air pollution death rates in 2016 (deaths per 100,000)","Ambient air pollution death rates in 1990 (deaths per 100,000)",Total population (2015),Region
New Zealand,7.913488603999999,22.41520542,4508166,Asia
Nicaragua,26.61896717,38.63482179,6041763,Africa
Niger,157.8745404,192.2312126,17239826,Africa
Nigeria,93.49417518,126.2913683,170901148,Africa
North Korea,103.02914609999999,91.34273325,24654358,Asia
Norway,12.03459839,33.61804276,4991997,Europe
Oman,71.70748987,104.56053320000001,2957333,Asia
Pakistan,125.9846838,124.70726409999999,183188847,Asia
Palestine,86.10291685,77.63121197,20922,Asia
Panama,19.66127453,36.43327409,3678264,South America
Papua New Guinea,93.49113781,117.25148940000001,7327281,Asia
Paraguay,43.75490591,48.61284951,6798236,South America
Peru,31.82423345,61.25575278,30075185,South America
Philippines,87.35301803,86.76914911,98112780,Asia
Poland,42.41187777,108.7802833,38331803,Europe
Portugal,15.53000521,34.93454717,10704534,Europe
Puerto Rico,24.98201266,40.20854641,3742334,North America
Qatar,51.66980346,85.94514205,1976840,Asia
Romania,51.06580925,104.06437700000001,21338815,Europe
Russia,60.68925284,83.65351128,142557892,Europe
Rwanda,72.95043462,139.39545719999998,11608439,Africa
Saudi Arabia,94.26219403,96.19615867,29319402,Asia
Senegal,104.9140594,101.613802,13454191,Africa
Serbia,41.78599135,67.31545595,9835010,Europe
Sierra Leone,108.7198298,99.28821097,6255163,Africa
Singapore,27.09828478,60.11931037,5300914,Asia
Slovakia,46.84756484,110.33731740000002,5488775,Europe
Slovenia,22.04134588,57.77007933,2044766,Europe
Solomon Islands,53.5108486,49.72924032,580791,Asia
Somalia,88.46626366,101.48518829999999,10052842,Africa
South Africa,61.00792511,68.16946692,50981076,Africa
South Korea,24.48580295,63.67237436,48774767,Asia
South Sudan,90.93916870000001,99.59369042,10881979,Africa
Spain,12.24874221,25.96391879,47042602,Europe
Sri Lanka,37.55750971,61.24720113,21393876,Asia
Sudan,111.1771176,143.8082033,35940905,Africa
Suriname,45.7465247,61.89477667,538882,Africa
Swaziland,74.33866813,88.19178032,1237166,Africa
Sweden,6.80110337,20.78534124,9545823,Europe
Switzerland,12.36329782,30.42280628,7761820,Europe
Tajikistan,112.6441252,164.3785385,7183529,Asia
Tanzania,59.93560335,78.18271046,49153002,Africa
Thailand,33.58695687,51.38316006,70243267,Asia
Togo,130.78162279999998,123.1179678,6412560,Africa
Tunisia,51.84214717,78.33201854,10813680,Africa
Turkey,40.69925555,69.57471947,75359032,Europe
Turkmenistan,99.74853998,146.62719950000002,5234640,Asia
Uganda,97.63427609,136.2699345,36759274,Africa
Ukraine,73.87217034,103.5561055,44696741,Europe
United Arab Emirates,93.69906773,104.3539362,8207940,Asia
United Kingdom,19.85599269,49.75296173,63177406,Europe
United States,19.11303878,35.62595603,318497630,North America
Uruguay,22.8690277,42.64252293,3403117,South America
Uzbekistan,107.94674380000001,121.81744440000001,28398155,Asia
Venezuela,38.98052269,61.95598735,30340637,South America
Vietnam,51.03543849,68.28759552,90656550,Asia
Zambia,84.31666837,90.12215448,14314515,Africa
Zimbabwe,72.62670609999999,64.93822571,13327925,Africa
